frame.time_delta,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,frame.time_invalid,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.stream,tcp.payload,eth.src,eth.dst,frame.cap_len,frame.encap_type,frame.len,frame.number,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.flags.sp,mqtt.conack.val,mqtt.conflag.cleansess,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.uname,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.msgid,mqtt.passwd,mqtt.passwd_len,mqtt.proto_len,mqtt.protoname,mqtt.qos,mqtt.retain,mqtt.sub.qos,mqtt.suback.qos,mqtt.topic,mqtt.topic_len,mqtt.username,mqtt.username_len,mqtt.ver,mqtt.willmsg,mqtt.willmsg_len,mqtt.willtopic,mqtt.willtopic_len
0.000085,0,1736880568,547.84257,,192.168.18.17,192.168.2.1,59855,1883,0,100c00044d5154540402003c0000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,80,1,80,233,,0,,,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0x02,,0x10,60,12,,1,,,,4,MQTT,,,,,,,,,4,,,,
0.000225,0.005163,1736880568,547.847733,,192.168.18.17,192.168.2.1,59855,1883,0,30c8090024636974792f6169722f73656e736f722d696f7473696d2d6169722d7175616c6974792d313c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e31392e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e303c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313239322e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e3131322e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e343c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3935352e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3130332e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313137342e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e39322e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313535392e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e3937322e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31332e333c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e34372e373c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373235353c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,1293,1,1293,237,,,,,,,,,,,,,,FALSE,0x30,,1224,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e31392e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e303c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313239322e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e3131322e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e343c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3935352e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3130332e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313137342e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e39322e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313535392e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e3937322e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31332e333c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e34372e373c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373235353c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,3,,,,,,0,FALSE,,,Air_quality,36,,,,,,,
0.000064,0.000064,1736880568,547.847797,,192.168.18.17,192.168.2.1,59855,1883,0,e000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,68,1,68,238,,,,,,,,,,,,,,,0xe0,,0,,14,,,,,,,,,,,,,,,,,,
0.00008,603.281636,1736881171,1151.129433,,192.168.18.17,192.168.2.1,59223,1883,1,100c00044d5154540402003c0000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,80,1,80,431,,0,,,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0x02,,0x10,60,12,,1,,,,4,MQTT,,,,,,,,,4,,,,
0.000217,0.007778,1736881171,1151.137211,,192.168.18.17,192.168.2.1,59223,1883,1,30c9090024636974792f6169722f73656e736f722d696f7473696d2d6169722d7175616c6974792d313c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e32302e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e323c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313430322e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e38382e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e303c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3933392e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3133312e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313134302e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e3131342e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313535352e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e313037342e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31312e393c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e35342e303c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373530323c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,1294,1,1294,435,,,,,,,,,,,,,,FALSE,0x30,,1225,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e32302e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e323c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313430322e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e38382e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e303c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3933392e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3133312e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313134302e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e3131342e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313535352e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e313037342e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31312e393c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e35342e303c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373530323c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,3,,,,,,0,FALSE,,,Air_quality,36,,,,,,,
0.000059,0.000059,1736881171,1151.13727,,192.168.18.17,192.168.2.1,59223,1883,1,e000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,68,1,68,436,,,,,,,,,,,,,,,0xe0,,0,,14,,,,,,,,,,,,,,,,,,
0.000091,628.424521,1736881800,1779.561791,,192.168.18.17,192.168.2.1,47339,1883,2,100c00044d5154540402003c0000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,80,1,80,611,,0,,,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0x02,,0x10,60,12,,1,,,,4,MQTT,,,,,,,,,4,,,,
0.000225,0.005928,1736881800,1779.567719,,192.168.18.17,192.168.2.1,47339,1883,2,30c9090024636974792f6169722f73656e736f722d696f7473696d2d6169722d7175616c6974792d313c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e32312e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e323c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313337362e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e38302e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e323c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3934382e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3137322e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313039322e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e3132322e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313538342e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e313230332e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31312e303c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e36302e303c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373836373c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,1294,1,1294,615,,,,,,,,,,,,,,FALSE,0x30,,1225,3c3f786d6c2076657273696f6e3d22312e302220656e636f64696e673d225554462d38223f3e3c726f6f743e3c446174653e3c76616c75653e31302f30332f323030343c2f76616c75653e3c756e69743e44442f4d4d2f595959593c2f756e69743e3c2f446174653e3c54696d653e3c76616c75653e32312e30302e30303c2f76616c75653e3c756e69743e48482e4d4d2e53533c2f756e69743e3c2f54696d653e3c434f5f47543e3c76616c75653e322e323c2f76616c75653e3c756e69743e434f20696e206d672f6d5e333c2f756e69743e3c2f434f5f47543e3c505430382e53315f434f3e3c76616c75653e313337362e303c2f76616c75653e3c756e69743e74696e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53315f434f3e3c4e4d48435f47543e3c76616c75653e38302e303c2f76616c75653e3c756e69743e4e6f6e204d6574616e696320487964726f436172626f6e7320636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4d48435f47543e3c433648365f47543e3c76616c75653e392e323c2f76616c75653e3c756e69743e42656e7a656e6520636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f433648365f47543e3c505430382e53325f4e4d48433e3c76616c75653e3934382e303c2f76616c75653e3c756e69743e746974616e69612073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53325f4e4d48433e3c4e4f785f47543e3c76616c75653e3137322e303c2f76616c75653e3c756e69743e4e4f7820636f6e63656e74726174696f6e20696e207070623c2f756e69743e3c2f4e4f785f47543e3c505430382e53335f4e4f783e3c76616c75653e313039322e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53335f4e4f783e3c4e4f325f47543e3c76616c75653e3132322e303c2f76616c75653e3c756e69743e4e4f3220636f6e63656e74726174696f6e20696e206d6963726f672f6d5e333c2f756e69743e3c2f4e4f325f47543e3c505430382e53345f4e4f323e3c76616c75653e313538342e303c2f76616c75653e3c756e69743e74756e677374656e206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53345f4e4f323e3c505430382e53355f4f333e3c76616c75653e313230332e303c2f76616c75653e3c756e69743e696e6469756d206f786964652073656e736f7220726573706f6e73653c2f756e69743e3c2f505430382e53355f4f333e3c54656d70657261747572653e3c76616c75653e31312e303c2f76616c75653e3c756e69743ec2b0433c2f756e69743e3c2f54656d70657261747572653e3c52656c61746976655f48756d69646974793e3c76616c75653e36302e303c2f76616c75653e3c756e69743e253c2f756e69743e3c2f52656c61746976655f48756d69646974793e3c4162736f6c7574655f48756d69646974793e302e373836373c2f4162736f6c7574655f48756d69646974793e3c2f726f6f743e,3,,,,,,0,FALSE,,,Air_quality,36,,,,,,,
0.000067,0.000067,1736881800,1779.567786,,192.168.18.17,192.168.2.1,47339,1883,2,e000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,68,1,68,616,,,,,,,,,,,,,,,0xe0,,0,,14,,,,,,,,,,,,,,,,,,
0.000084,602.794763,1736882402,2382.362549,,192.168.18.17,192.168.2.1,32821,1883,3,100c00044d5154540402003c0000,02:42:52:d7:fa:00,0c:6e:9c:16:00:00,80,1,80,805,,0,,,,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE,0x02,,0x10,60,12,,1,,,,4,MQTT,,,,,,,,,4,,,,
